Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,,Margin,Status
NERELA,1,RAJ KARAN KHATRI,Bharatiya Janata Party,SHARAD KUMAR,Aam Aadmi Party,i,8596,Result Declared
BURARI,2,SANJEEV JHA,Aam Aadmi Party,SHAILENDRA KUMAR,Janata Dal (United),i,20601,Result Declared
TIMARPUR,3,SURYA PRAKASH KHATRI,Bharatiya Janata Party,SURINDER PAL SINGH (BITTOO),Aam Aadmi Party,i,1168,Result Declared
ADARSH NAGAR,4,RAJ KUMAR BHATIA,Bharatiya Janata Party,MUKESH KUMAR GOEL,Aam Aadmi Party,i,11482,Result Declared
BADLI,5,AAHIR DEEPAK CHAUDHARYY,Bharatiya Janata Party,AJESH YADAV,Aam Aadmi Party,i,15163,Result Declared
RITHALA,6,KULWANT RANA,Bharatiya Janata Party,MOHINDER GOYAL,Aam Aadmi Party,i,29616,Result Declared
BAWANA,7,RAVINDER INDRAJ SINGH,Bharatiya Janata Party,JAI BHAGWAN UPKAR,Aam Aadmi Party,i,31475,Result Declared
MUNDKA,8,GAJENDER DRALL,Bharatiya Janata Party,JASBIR KARALA,Aam Aadmi Party,i,10550,Result Declared
KIRARI,9,ANIL JHA,Aam Aadmi Party,BAJRANG SHUKLA,Bharatiya Janata Party,i,21871,Result Declared
SULTANPUR MAJRA,10,MUKESH KUMAR AHLAWAT,Aam Aadmi Party,KARAM SINGH KARMA,Bharatiya Janata Party,i,17126,Result Declared
NANGLOI JAT,11,MANOJ KUMAR SHOKEEN,Bharatiya Janata Party,RAGHUVINDER SHOKEEN,Aam Aadmi Party,i,26251,Result Declared
MANGOL PURI,12,RAJ KUMAR CHAUHAN,Bharatiya Janata Party,DHARAM RAKSHAK ALIAS RAKESH JATAV,Aam Aadmi Party,i,6255,Result Declared
ROHINI,13,VIJENDER GUPTA,Bharatiya Janata Party,PARDEEP MITTAL,Aam Aadmi Party,i,37816,Result Declared
SHALIMAR BAGH,14,REKHA GUPTA,Bharatiya Janata Party,BANDANA KUMARI,Aam Aadmi Party,i,29595,Result Declared
SHAKUR BASTI,15,KARNAIL SINGH,Bharatiya Janata Party,SATYENDAR JAIN,Aam Aadmi Party,i,20998,Result Declared
TRI NAGAR,16,TILAK RAM GUPTA,Bharatiya Janata Party,PREETI JITENDER TOMAR,Aam Aadmi Party,i,15896,Result Declared
WAZIRPUR,17,POONAM SHARMA,Bharatiya Janata Party,RAJESH GUPTA,Aam Aadmi Party,i,11425,Result Declared
MODEL TOWN,18,ASHOK GOEL,Bharatiya Janata Party,AKHILESH PATI TRIPATHI,Aam Aadmi Party,i,13415,Result Declared
SADAR BAZAR,19,SOM DUTT,Aam Aadmi Party,MANOJ KUMAR JINDAL,Bharatiya Janata Party,i,6307,Result Declared
CHANDNI CHOWK,20,PUNARDEEP SINGH SAWHNEY (SABBY),Aam Aadmi Party,SATISH JAIN,Bharatiya Janata Party,i,16572,Result Declared
MATIA MAHAL,21,AALEY MOHAMMED IQBAL,Aam Aadmi Party,DEEPTI INDORA,Bharatiya Janata Party,i,42724,Result Declared
BALLIMARAN,22,IMRAN HUSSAIN,Aam Aadmi Party,KAMAL BAGRI,Bharatiya Janata Party,i,29823,Result Declared
KAROL BAGH,23,VISHESH RAVI,Aam Aadmi Party,DUSHYANT GAUTAM,Bharatiya Janata Party,i,7430,Result Declared
PATEL NAGAR,24,PRAVESH RATN,Aam Aadmi Party,RAAJ KUMAR ANAND,Bharatiya Janata Party,i,4049,Result Declared
MOTI NAGAR,25,HARISH KHURANA,Bharatiya Janata Party,SHIVCHARAN GOEL,Aam Aadmi Party,i,11657,Result Declared
MADIPUR,26,KAILASH GANGWAL,Bharatiya Janata Party,RAKHI BIRLA,Aam Aadmi Party,i,10899,Result Declared
RAJOURI GARDEN,27,MANJINDER SINGH SIRSA,Bharatiya Janata Party,A DHANWATI CHANDELA A,Aam Aadmi Party,i,18190,Result Declared
HARI NAGAR,28,SHYAM SHARMA,Bharatiya Janata Party,SURINDER KUMAR SETIA,Aam Aadmi Party,i,6632,Result Declared
TILAK NAGAR,29,JARNAIL SINGH,Aam Aadmi Party,SHVETA SAINI,Bharatiya Janata Party,i,11656,Result Declared
JANAKPURI,30,ASHISH SOOD,Bharatiya Janata Party,PARVEEN KUMAR,Aam Aadmi Party,i,18766,Result Declared
VIKASPURI,31,PANKAJ KUMAR SINGH,Bharatiya Janata Party,MAHINDER YADAV,Aam Aadmi Party,i,12876,Result Declared
UTTAM NAGAR,32,PAWAN SHARMA,Bharatiya Janata Party,POSH BALYAN,Aam Aadmi Party,i,29740,Result Declared
