MINISTRY OF AGRICULTURE AND FARMERS WELFARE,125035.79
DEPARTMENT OF ATOMIC ENERGY,25078.49
MINISTRY OF AYUSH,3647.5
MINISTRY OF CHEMICALS AND FERTILISERS,178481.99
MINISTRY OF CIVIL AVIATION,3113.36
MINISTRY OF COAL,192.32
MINISTRY OF COMMERCE AND INDUSTRY,13455.21
MINISTRY OF COMMUNICATIONS,123393.05
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",205764.6
MINISTRY OF COOPERATION,1150.38
MINISTRY OF CORPORATE AFFAIRS,756.19
MINISTRY OF CULTURE,3399.65
MINISTRY OF DEFENCE,593537.64
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,5892
MINISTRY OF EARTH SCIENCES,3319.88
MINISTRY OF EDUCATION,112899.47
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,16549.04
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",3079.4
MINISTRY OF EXTERNAL AFFAIRS,18050
MINISTRY OF FINANCE,1689719.17
"MINISTRY OF FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",6576.62
MINISTRY OF FOOD PROCESSING INDUSTRIES,3287.65
MINISTRY OF HEALTH AND FAMILY WELFARE,89155
MINISTRY OF HEAVY INDUSTRIES,6171.63
MINISTRY OF HOME AFFAIRS,196034.94
MINISTRY OF HOUSING AND URBAN AFFAIRS,76431.6
MINISTRY OF INFORMATION AND BROADCASTING,4692
MINISTRY OF JAL SHAKTI,97277.67
MINISTRY OF LABOUR AND EMPLOYMENT,13221.73
MINISTRY OF LAW AND JUSTICE,4752.58
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",22137.95
MINISTRY OF MINES,1911.6
MINISTRY OF MINORITY AFFAIRS,3097.6
MINISTRY OF NEW AND RENEWABLE ENERGY,10222
MINISTRY OF PANCHAYATI RAJ,1016.42
MINISTRY OF PARLIAMENTARY AFFAIRS,63
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",2252.2
MINISTRY OF PETROLEUM AND NATURAL GAS,41007.72
MINISTRY OF PLANNING,824.39
"MINISTRY OF PORTS, SHIPPING AND WATERWAYS",2218.74
MINISTRY OF POWER,20671.32
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE PRESIDENT",1785.86
MINISTRY OF RAILWAYS,241267.51
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,270434.71
MINISTRY OF RURAL DEVELOPMENT,159964.23
MINISTRY OF SCIENCE AND TECHNOLOGY,16361.42
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENEURSHIP,3517.31
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,14072.17
DEPARMENT OF SPACE,12543.91
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,5443.4
MINISTRY OF STEEL,70.15
MINISTRY OF TEXTILES,4389.34
MINISTRY OF TOURISM,2400
MINISTRY OF TRIBAL AFFAIRS,12461.88
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,25448.75
MINISTRY OF YOUTH AFFAIRS AND SPORTS,3397.32
GRAND TOTAL,4503097.45
