DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,1.6527016527017,4.4632,
1961-12-31,1.6884016884017,4.3036,
1962-12-31,1.7577017577018,4.169,
1963-12-31,2.0727020727021,4.2805,
1964-12-31,2.1042021042021,3.7256,
1965-12-31,1.969801969802,3.3075,
1966-12-31,1.8882255648705,4.1426,
1967-12-31,2.0226666666667,4.0344,
1968-12-31,2.144,4.0388,
1969-12-31,2.1706666666667,3.7138,
1970-12-31,2.3613333333333,3.7828,
1971-12-31,2.4699142141547,3.6672,
1972-12-31,2.8782331451637,4.0275,
1973-12-31,3.5992363514223,4.2088,
1974-12-31,4.8084494299072,4.8313,
1975-12-31,5.5608785032408,5.6471,
1976-12-31,6.8681487726722,6.6865,
1977-12-31,7.7547010539386,6.3832,
1978-12-31,8.6704015401265,6.3148,
1979-12-31,10.326638765756,6.7496,
1980-12-31,11.439738400081,6.1396,
1981-12-31,11.485699151059,5.936,
1982-12-31,12.009417676704,5.9833,
1983-12-31,12.741335281076,5.8376,
1984-12-31,13.330716432207,6.2834,
1985-12-31,12.21744752181,5.2546,
1986-12-31,12.9378641536,5.1962,
1987-12-31,15.638662913984,5.6046,
1988-12-31,17.899838408938,6.0352,
1989-12-31,20.770696112095,7.0161,
1990-12-31,22.639774911553,7.0534,
1991-12-31,22.943398073299,8.4942,
1992-12-31,25.486029046697,8.8429,
1993-12-31,27.466541462914,9.8342,
1994-12-31,32.361214431432,9.8881,
1995-12-31,39.068855117852,10.844,
1996-12-31,40.803004618175,10.3852,
1997-12-31,44.459225642539,10.6907,
1998-12-31,46.426465025048,11.0185,
1999-12-31,52.544483402694,11.4521,
2000-12-31,60.8784728212,12.9972,
2001-12-31,60.963415576645,12.5584,
2002-12-31,73.452895951633,14.2644,
2003-12-31,90.838575243762,14.9479,
2004-12-31,126.64847202075,17.8591,
2005-12-31,160.83826068078,19.6052,
2006-12-31,199.97392236378,21.2679,
2007-12-31,253.07752601317,20.7997,
2008-12-31,288.9020448207,24.0974,
2009-12-31,273.75212488921,20.4005,
2010-12-31,375.35351402627,22.4009,
2011-12-31,447.38441762509,24.5404,
2012-12-31,448.40047736125,24.5344,
2013-12-31,472.18027134015,25.4309,
2014-12-31,468.34581542093,22.968,
2015-12-31,416.78794084781,19.8132,
2016-12-31,439.64257807636,19.1582,
2017-12-31,498.25880823152,18.7918,
2018-12-31,538.63518613544,19.9278,
2019-12-31,529.24506316721,18.6643,
2020-12-31,499.72852907263,18.6825,
2021-12-31,677.76925542855,21.3992,
2022-12-31,778.02151475453,23.2005,
2023-12-31,777.13558744432,21.8916,
