,India GDP - Historical Data,India GDP - Historical Data
,Year,Growth %
0,2021,8.95
1,2020,-6.6
2,2019,3.74
3,2018,6.45
4,2017,6.8
5,2016,8.26
6,2015,8
7,2014,7.41
8,2013,6.39
9,2012,5.46
10,2011,5.24
11,2010,8.5
12,2009,7.86
13,2008,3.09
14,2007,7.66
15,2006,8.06
16,2005,7.92
17,2004,7.92
18,2003,7.86
19,2002,3.8
20,2001,4.82
21,2000,3.84
22,1999,8.85
23,1998,6.18
24,1997,4.05
25,1996,7.55
26,1995,7.57
27,1994,6.66
28,1993,4.75
29,1992,5.48
30,1991,1.06
31,1990,5.53
32,1989,5.95
33,1988,9.63
34,1987,3.97
35,1986,4.78
36,1985,5.25
37,1984,3.82
38,1983,7.29
39,1982,3.48
40,1981,6.01
41,1980,6.74
42,1979,-5.24
43,1978,5.71
44,1977,7.25
45,1976,1.66
46,1975,9.15
47,1974,1.19
48,1973,3.3
49,1972,-0.55
50,1971,1.64
51,1970,5.16
52,1969,6.54
53,1968,3.39
54,1967,7.83
55,1966,-0.06
56,1965,-2.64
57,1964,7.45
58,1963,5.99
59,1962,2.93
60,1961,3.72
61,1960,0
