Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Sector PE","PB Ratio","Sector PB","Face value","Debt to Equity","Total Assets","Return on Assets","Total Liabilities","1D Return","1W Return","1M Return","6M Return","1Y Return","Return on Investment","Return on Equity","Dividend Yield"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1677811.2537585301","24.099212216982377","11.4761859396851","1.8123061151781297","1.495364798157567","10","0.4957841320043034","1755048","4.142960430595103","829260","-0.16506965134070228","-0.9333120612635465","-1.311188811188811","-22.37474369609792","-11.066080875100877","6.697025301510205","7.935513763564524","0.403269080407168"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1552557.5348489801","33.818888534655834","35.94234348068758","17.00147324049738","9.469682682020355","1","0.08783495220052782","145472","31.843957118728127","54153","0.5966265399177318","3.899599322867812","-3.9765436823267346","2.923822316031866","9.921102515497724","46.99617475337226","50.303246130667034","1.701195497657943"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1247322.75679538","19.47054381651566","16.376340337400556","2.655128658561602","2.2787858595073875","1","0","4035826.5199999996","1.9512492696450114","3566047.8699999996","-1.5633016447864851","-5.002866972477064","-10.92741935483871","0.5394242031933913","-2.507771401243427",,"16.85673681150032","1.1876617908391287"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","955543.90206204","127.9689168423789","-125.56801217225464","9.051805608375968","11.399967014116141","5","2.0422919198703346","442019.19999999995","1.684457579619208","336455.29999999993","-1.1572498298162042","0.9748172217709266","-0.04948351580379504","11.101836393989995","44.88388969521044","9.376963608362528","7.04406716343988","0.4734549246598894"
ICICI Bank Ltd,ICICIBANK,"Private Banks","868193.0658172","19.61735383276266","16.376340337400556","3.2151457230228684","2.2787858595073875","2","0","2369248.46","2.0432080310386915","2099216.1999999997","-1.6081929831579718","-1.3574839193402033","-5.955605718585409","-0.01626082361071958","21.77551121453681",,"18.019082409233544","0.8088755840718297"
Infosys Ltd,INFY,"IT Services & Consulting","812749.50589326","30.98195044002821","35.94234348068758","9.187659034978804","9.469682682020355","5","0.09449361865680922","136020","20.131534518218373","47559","-0.24149063270545768","0.920985120574656","-0.14215001903794666","14.946838112533323","18.770050239089652","27.58004544515596","31.941603350866938","2.34312943691916"
State Bank of India,SBIN,"Public Banks","651051.0314803","9.704918062184115","16.376340337400556","1.512112995272657","2.2787858595073875","1","0","6746909.02","1.055416680785702","6316351.889999999","-1.849983181971073","-6.744040150564618","-12.912297146874455","-17.2292505814943","16.11466958287767",,"16.722561093597644","1.8779968405518093"
ITC Ltd,ITC,"FMCG - Tobacco","604259.309228055","29.535451734074808","50.78773731207607","8.06862800489912","9.976155395295928","1","0.00405167741421181","91753.97","23.04112178888152","16864","-1.3149022252191427","-2.3485513608428543","2.059326529119109","0.15225100727039034","-0.7473201095613887","27.314684533483","28.330617807699795","2.840909893788854"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","575884.8183162","56.03627695983264","50.78773731207607","11.198973578285981","9.976155395295928","1","0.028858681912762772","78489","13.561088898565641","27066","0.3664953625028078","1.168258176771559","4.0254733658495025","-6.461092241346417","-4.748950722835374","20.055947228155066","20.16185197900829","1.713586291309669"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","538358.1485560599","34.28596029525283","35.94234348068758","7.8856051406316","9.469682682020355","2","0.08434034948953435","99006","16.3344707057257","30735","-0.28569996491403027","2.2865931812355758","2.9489924920663517","26.74566768603467","25.2613021030097","21.957611206419106","23.493854221996123","2.621128432261594"
